"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SUMMER 2013,,,,,,,,"PUBLICATION DATE:  AUGUST 26, 2013",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120135 ,KL ,802 ,MS ,0030 ,Crop Sciences ,  ,  ,6,3,3,0,6,0,0,0,0,0,0,0,0,0,0,4,2,10KS0030MSU
120135 ,KL ,802 ,MS ,4026 ,Bioinformatics ,5100 ,Crop Science ,3,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,3,10KS5100MS
120135 ,KL ,802 ,PHD ,0030 ,Crop Sciences ,  ,  ,47,32,15,0,26,2,0,1,0,0,0,18,0,0,0,16,31,10KS0030PHD
120135 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0051BS
120135 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,10KL0057BS
120135 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5239 ,Humn Dimnsns of the Environmnt ,16,8,8,0,11,1,1,0,0,0,0,3,0,1,0,13,3,10KL0051BS
120135 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5240 ,Resrce Cons & Restoration Ecol ,9,5,4,0,6,0,0,0,0,0,1,2,0,0,1,7,2,10KL0051BS
120135 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5241 ,Globl Chg & Landscape Dynamics ,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,1,10KL0051BS
120135 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,26,18,8,0,22,0,2,0,0,0,0,2,0,2,0,7,19,10KS0190MS
120135 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,28,10,18,0,27,0,0,0,0,0,1,0,0,0,1,15,13,10KS0190MSU
120135 ,KL ,875 ,PHD ,0190 ,Natural Res & Env Sciences ,  ,  ,9,4,5,0,4,0,0,0,0,0,0,5,0,0,0,1,8,10KS0190PHD
120135 ,KL ,971 ,MS ,0191 ,Nutritional Sciences ,  ,  ,8,2,6,0,2,2,1,2,0,0,0,1,0,1,0,4,4,10KS0191MS
120135 ,KL ,971 ,PHD ,0191 ,Nutritional Sciences ,  ,  ,21,8,13,0,14,3,0,1,0,0,0,3,0,0,0,7,14,10KS0191PHD
120135 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,***College total*** ,826,387,439,0,502,68,34,47,0,0,13,156,6,39,5,529,297, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
120135 ,KM ,  ,  ,  ,Business ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120135 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS4064MBA
120135 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,25,18,7,0,3,0,0,0,0,0,0,22,0,0,0,2,23,10KS9875MBA
120135 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,4064 ,MBA ,116,77,39,0,71,14,15,4,0,0,1,10,1,16,0,114,2,10KS4064MBA
120135 ,KM ,260 ,BS ,0075 ,Finance ,  ,  ,94,56,38,0,48,14,5,5,0,0,2,20,0,6,1,67,27,10KM0075BS
120135 ,KM ,260 ,MS ,0075 ,Finance ,  ,  ,115,59,56,0,6,2,0,0,0,0,0,107,0,0,0,4,111,10KS0075MSK
120135 ,KM ,260 ,PHD ,0075 ,Finance ,  ,  ,4,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,4,10KS0075PHD
120135 ,KM ,346 ,BS ,0071 ,Accountancy ,  ,  ,265,145,120,0,116,51,4,10,0,0,2,80,2,5,0,161,104,10KM0071BS
120135 ,KM ,346 ,MAS ,0071 ,Accountancy ,  ,  ,5,3,2,0,2,0,0,1,0,0,0,2,0,0,0,3,2,10KS0071MAS
120135 ,KM ,346 ,MAS ,0071 ,Accountancy ,5101 ,Taxation ,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,10KS0071MAS
120135 ,KM ,346 ,MS ,0071 ,Accountancy ,  ,  ,143,29,113,1,7,4,0,1,0,0,0,130,1,0,0,8,135,10KS0071MSK
120135 ,KM ,346 ,MS ,5187 ,Taxation ,  ,  ,30,12,18,0,7,6,5,2,0,0,0,9,1,5,0,18,12,10KS5187MSK2
120135 ,KM ,346 ,PHD ,0071 ,Accountancy ,  ,  ,10,7,3,0,7,0,0,1,0,0,0,2,0,0,0,2,8,10KS0071PHD
120135 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,21,8,13,0,12,1,2,2,0,0,3,0,1,2,0,17,4,10KM1432BS
120135 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,17,5,12,0,11,1,2,1,0,0,2,0,0,3,0,14,3,10KM8037BS
120135 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KM5070BS
120135 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,  ,  ,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KM8037BS
120135 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,  ,  ,4,0,4,0,2,2,0,0,0,0,0,0,0,0,0,4,0,10KM5071BS
120135 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,  ,  ,8,5,3,0,4,2,0,1,0,0,0,1,0,0,0,7,1,10KM8037BS
120135 ,KM ,902 ,BS ,5072 ,Business Process Management ,  ,  ,5,1,4,0,3,0,1,0,0,0,1,0,0,1,0,5,0,10KM5072BS
120135 ,KM ,902 ,BS ,5072 ,Business Process Management ,  ,  ,4,2,2,0,3,0,1,0,0,0,0,0,0,1,0,3,1,10KM8037BS
120135 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,6,2,4,0,2,1,2,1,0,0,0,0,0,2,0,6,0,10KM5073BS
120135 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KM8037BS
120135 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,4,2,2,0,3,1,0,0,0,0,0,0,0,0,0,3,1,10KM5073BS
120135 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,4,3,1,0,3,1,0,0,0,0,0,0,0,0,0,3,1,10KM8037BS
120135 ,KM ,902 ,MS ,5148 ,Technology Management ,  ,  ,98,59,39,0,5,15,1,1,0,0,0,73,3,1,0,12,86,10KS5148MSK
120135 ,KM ,902 ,PHD ,0079 ,Business Administration ,  ,  ,4,2,2,0,1,1,1,0,0,0,0,1,0,1,0,0,4,10KS0079PHD
120135 ,KM ,938 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,3,2,1,0,1,1,1,0,0,0,0,0,0,1,0,3,0,10KS3924MBA2
120135 ,KM ,938 ,MBA ,9875 ,Business Administration (MBA) ,3924 ,Executive Program ,31,25,6,0,17,9,4,1,0,0,0,0,0,5,1,30,1,10KS3924MBA2
120135 ,KM ,952 ,NONE ,0070 ,Curric Unassigned ,  ,  ,75,45,30,0,42,13,7,8,0,0,1,4,0,8,2,54,21,10KM0070NONE
120135 ,KM ,  ,  ,  ,Business ,  ,***College total*** ,1097,574,522,1,381,139,52,39,0,0,12,465,9,58,4,546,551, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
120135 ,KN ,  ,  ,  ,Education ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120135 ,KN ,335 ,NONE ,4089 ,Pre-Early Chld/Elem Ed/Spec Ed ,  ,  ,10,2,8,0,7,1,2,0,0,0,0,0,0,2,0,9,1,10KN4089NONE
120135 ,KN ,570 ,BS ,0093 ,Special Education ,  ,  ,10,1,9,0,10,0,0,0,0,0,0,0,0,0,0,10,0,10KN0093BS
120135 ,KN ,570 ,CAS ,0093 ,Special Education ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS0093CAS
120135 ,KN ,570 ,EDM ,0093 ,Special Education ,  ,  ,30,3,27,0,21,2,2,3,0,0,0,2,0,2,0,25,5,10KS0093EDM
120135 ,KN ,570 ,EDM ,0093 ,Special Education ,  ,  ,11,0,11,0,11,0,0,0,0,0,0,0,0,0,0,11,0,10KS0093EDMX
