"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,
SUMMER 2009,,,,,,,,"REVISED:  September 23, 2009",,,,,,,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,,,,
Revised to include academic program codes (on far right),,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,International,Unknown,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,
120095 ,KN ,613 ,PHD ,0095 ,Elementary Education ,  ,  ,8,0,8,0,2,0,1,0,0,5,0,3,5,10KS0095PHD
120095 ,KN ,613 ,PHD ,0215 ,Secondary & Continuing Educ ,  ,  ,20,8,12,0,7,1,1,0,0,11,0,4,16,10KS0215PHD
120095 ,KN ,613 ,PHD ,1144 ,Curriculum and Instruction ,  ,  ,8,1,7,0,2,2,0,1,0,2,1,2,6,10KS1144PHD
120095 ,KN ,616 ,EDM ,0210 ,Educational Psychology ,  ,  ,2,1,1,0,2,0,0,0,0,0,0,2,0,10KS0210EDMU
120095 ,KN ,616 ,MS ,0210 ,Educational Psychology ,  ,  ,1,0,1,0,0,0,0,0,0,1,0,0,1,10KS0210MS
120095 ,KN ,616 ,PHD ,0210 ,Educational Psychology ,  ,  ,44,11,33,0,13,2,12,2,0,15,0,13,31,10KS0210PHD
120095 ,KN ,640 ,EDD ,0220 ,Educational Policy Studies ,  ,  ,1,0,1,0,0,0,0,1,0,0,0,0,1,10KS0220EDD
120095 ,KN ,640 ,MA ,0220 ,Educational Policy Studies ,  ,  ,4,1,3,0,0,0,1,2,1,0,0,2,2,10KS0220MA
120095 ,KN ,640 ,PHD ,0220 ,Educational Policy Studies ,  ,  ,70,24,46,0,12,3,27,20,2,4,2,28,42,10KS0220PHD
120095 ,KN ,674 ,CAS ,0209 ,Ed Organization and Leadership ,  ,  ,2,1,1,0,1,0,1,0,0,0,0,2,0,10KS0209CAS
120095 ,KN ,674 ,EDD ,0209 ,Ed Organization and Leadership ,  ,  ,7,5,2,0,5,1,0,0,0,0,1,7,0,10KS0209EDD
120095 ,KN ,674 ,EDM ,0209 ,Ed Organization and Leadership ,  ,  ,35,18,17,0,27,1,4,1,0,0,2,34,1,10KS0209EDM
120095 ,KN ,674 ,MS ,0209 ,Ed Organization and Leadership ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KS0209MS
120095 ,KN ,674 ,PHD ,0209 ,Ed Organization and Leadership ,  ,  ,4,1,3,0,3,1,0,0,0,0,0,4,0,10KS0209PHD
120095 ,KN ,760 ,EDD ,4096 ,Human Resource Education ,  ,  ,1,1,0,0,0,0,0,0,0,1,0,0,1,10KS4096EDD
120095 ,KN ,760 ,EDD ,4096 ,Human Resource Education ,5137 ,Human Resource Development ,1,0,1,0,0,0,1,0,0,0,0,1,0,10KS4096EDD
120095 ,KN ,760 ,EDM ,4096 ,Human Resource Education ,  ,  ,6,2,4,0,2,1,1,0,0,2,0,4,2,10KS4096EDM
120095 ,KN ,760 ,EDM ,4096 ,Human Resource Education ,5137 ,Human Resource Development ,7,2,5,0,3,1,1,0,0,2,0,3,4,10KS4096EDM
120095 ,KN ,760 ,MS ,4096 ,Human Resource Education ,5137 ,Human Resource Development ,1,0,1,0,0,0,0,0,0,1,0,0,1,10KS4096MS
120095 ,KN ,760 ,PHD ,4096 ,Human Resource Education ,  ,  ,1,0,1,0,0,0,0,0,0,1,0,0,1,10KS4096PHD
120095 ,KN ,760 ,PHD ,4096 ,Human Resource Education ,5137 ,Human Resource Development ,8,1,7,0,1,0,0,0,0,7,0,1,7,10KS4096PHD
120095 ,KN ,  ,  ,  ,Education ,  ,***College total*** ,382,100,282,0,192,23,62,35,3,57,10,246,136, 
 ,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
120095 ,KP ,  ,  ,  ,Engineering ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120095 ,KP ,227 ,BS ,0102 ,Agricultural Engineering ,  ,  ,8,8,0,0,6,0,0,1,0,1,0,7,1,10KP0102BS
120095 ,KP ,227 ,BS ,0102 ,Agricultural Engineering ,3907 ,Food & Bioprocess Engineering ,1,1,0,0,1,0,0,0,0,0,0,1,0,10KP3907BS
120095 ,KP ,227 ,BS ,5163 ,Agricultural & Biological Engr ,  ,  ,3,2,1,0,3,0,0,0,0,0,0,3,0,10KP5163BS
120095 ,KP ,227 ,MS ,0102 ,Agricultural Engineering ,  ,  ,4,3,1,0,1,0,0,0,0,3,0,1,3,10KS0102MS
120095 ,KP ,227 ,MS ,5163 ,Agricultural & Biological Engr ,  ,  ,5,4,1,0,1,0,0,0,0,4,0,1,4,10KS5163MS
120095 ,KP ,227 ,NDEG ,0067 ,Nondegree ,  ,  ,3,2,1,0,3,0,0,0,0,0,0,3,0,10KP0067NDEG
120095 ,KP ,227 ,PHD ,0102 ,Agricultural Engineering ,  ,  ,6,6,0,0,1,0,0,0,0,5,0,1,5,10KS0102PHD
120095 ,KP ,227 ,PHD ,5163 ,Agricultural & Biological Engr ,  ,  ,8,4,4,0,4,0,0,0,0,4,0,1,7,10KS5163PHD
120095 ,KP ,244 ,BS ,0121 ,Engineering Physics ,  ,  ,16,13,3,0,11,4,0,1,0,0,0,13,3,10KP0121BS
120095 ,KP ,244 ,MS ,0240 ,Physics ,  ,  ,1,1,0,0,0,0,0,0,0,1,0,0,1,10KS0240MS
