"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SPRING 2013,,,,,,,,"PUBLICATION DATE:  FEBRUARY 15, 2013",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120131 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,223,156,67,0,75,19,15,8,0,0,2,102,2,15,1,82,141,10KS9875MBA
120131 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,4064 ,MBA ,156,107,49,0,97,16,19,4,0,0,2,14,4,20,1,149,7,10KS4064MBA
120131 ,KM ,260 ,BS ,0075 ,Finance ,  ,  ,520,349,171,0,298,75,10,25,0,1,7,103,1,11,1,385,135,10KM0075BS
120131 ,KM ,260 ,MS ,0075 ,Finance ,  ,  ,130,67,63,0,7,5,0,0,0,0,0,117,1,0,0,4,126,10KS0075MSK
120131 ,KM ,260 ,NDEG ,0075 ,Finance ,  ,  ,18,16,2,0,0,0,0,0,0,0,0,18,0,0,0,0,18,10KS0075NDEG
120131 ,KM ,260 ,PHD ,0075 ,Finance ,  ,  ,24,15,9,0,0,2,0,0,0,0,0,22,0,0,0,1,23,10KS0075PHD
120131 ,KM ,346 ,BS ,0071 ,Accountancy ,  ,  ,972,525,447,0,476,169,27,53,0,1,8,235,3,28,4,678,294,10KM0071BS
120131 ,KM ,346 ,MAS ,0071 ,Accountancy ,  ,  ,246,139,107,0,139,43,3,13,0,0,0,48,0,3,1,180,66,10KS0071MAS
120131 ,KM ,346 ,MS ,0071 ,Accountancy ,  ,  ,136,21,115,0,4,2,0,0,0,0,1,128,1,0,0,3,133,10KS0071MSK
120131 ,KM ,346 ,MS ,5187 ,Taxation ,  ,  ,31,8,23,0,14,6,1,4,0,0,3,2,1,2,0,27,4,10KS5187MSK2
120131 ,KM ,346 ,PHD ,0071 ,Accountancy ,  ,  ,21,13,8,0,15,0,0,1,0,0,1,3,1,0,1,6,15,10KS0071PHD
120131 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,86,30,56,0,57,10,5,7,0,0,3,3,1,5,0,74,12,10KM1432BS
120131 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,118,39,79,0,86,10,9,7,0,0,2,4,0,10,0,106,12,10KM8037BS
120131 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,  ,  ,30,25,5,0,18,7,1,1,0,0,1,2,0,1,0,26,4,10KM5070BS
120131 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,  ,  ,12,8,4,0,11,0,0,1,0,0,0,0,0,0,0,11,1,10KM8037BS
120131 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,  ,  ,16,9,7,0,14,1,0,1,0,0,0,0,0,1,0,13,3,10KM5071BS
120131 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,  ,  ,66,38,28,0,48,11,1,2,0,0,1,3,0,2,0,62,4,10KM8037BS
120131 ,KM ,902 ,BS ,5072 ,Business Process Management ,  ,  ,22,12,10,0,16,0,0,2,0,0,1,3,0,0,0,18,4,10KM5072BS
120131 ,KM ,902 ,BS ,5072 ,Business Process Management ,  ,  ,13,6,7,0,9,1,3,0,0,0,0,0,0,3,0,12,1,10KM8037BS
120131 ,KM ,902 ,BS ,5073 ,Management ,0086 ,Entrepreneurship ,19,12,7,0,11,1,1,5,0,0,1,0,0,1,1,19,0,10KM5073BS
120131 ,KM ,902 ,BS ,5073 ,Management ,0086 ,Entrepreneurship ,4,1,3,0,1,0,2,0,0,0,0,1,0,2,0,3,1,10KM8037BS
120131 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,26,14,12,0,16,4,2,2,0,0,0,1,1,2,0,24,2,10KM5073BS
120131 ,KM ,902 ,BS ,5073 ,Management ,5074 ,International Business ,15,4,11,0,10,1,1,2,0,0,1,0,0,1,0,15,0,10KM8037BS
120131 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,23,12,11,0,18,2,1,1,0,0,1,0,0,1,0,21,2,10KM5073BS
120131 ,KM ,902 ,BS ,5073 ,Management ,5075 ,General Management ,17,7,10,0,12,1,1,2,0,0,1,0,0,1,0,16,1,10KM8037BS
120131 ,KM ,902 ,MS ,5148 ,Technology Management ,  ,  ,95,66,29,0,7,14,3,0,0,0,0,69,2,3,0,16,79,10KS5148MSK
120131 ,KM ,902 ,PHD ,0079 ,Business Administration ,  ,  ,46,24,22,0,7,3,2,0,0,0,0,34,0,2,0,1,45,10KS0079PHD
120131 ,KM ,938 ,MBA ,9875 ,Business Administration (MBA) ,3924 ,Executive Program ,62,45,17,0,33,14,10,2,1,0,1,0,1,11,3,60,2,10KS3924MBA2
120131 ,KM ,952 ,NDEG ,0067 ,Nondegree ,  ,  ,49,25,24,0,1,0,0,0,0,0,0,48,0,0,0,1,48,10KM0067NDEG
120131 ,KM ,952 ,NONE ,0070 ,Curric Unassigned ,  ,  ,698,409,289,0,396,114,33,66,0,1,18,66,4,41,6,553,145,10KM0070NONE
120131 ,KM ,  ,  ,  ,Business ,  ,***College total*** ,3894,2202,1692,0,1896,531,150,209,1,3,55,1026,23,166,19,2566,1328, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
120131 ,KN ,  ,  ,  ,Education ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120131 ,KN ,335 ,NDEG ,0067 ,Nondegree ,  ,  ,12,5,7,0,2,0,0,2,0,0,0,8,0,0,0,4,8,10KN0067NDEG
120131 ,KN ,335 ,NONE ,4089 ,Pre-Early Chld/Elem Ed/Spec Ed ,  ,  ,245,13,232,0,172,26,9,25,0,1,7,2,3,11,3,237,8,10KN4089NONE
120131 ,KN ,570 ,BS ,0093 ,Special Education ,  ,  ,80,7,73,0,70,4,1,3,0,0,2,0,0,1,1,80,0,10KN0093BS
120131 ,KN ,570 ,CAS ,0093 ,Special Education ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS0093CAS
120131 ,KN ,570 ,EDM ,0093 ,Special Education ,  ,  ,30,2,28,0,21,1,2,3,0,0,0,2,1,2,0,23,7,10KS0093EDM
120131 ,KN ,570 ,MS ,0093 ,Special Education ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS0093MS
120131 ,KN ,570 ,NDEG ,0093 ,Special Education ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS0093NDEG
120131 ,KN ,570 ,PHD ,0093 ,Special Education ,  ,  ,25,2,23,0,18,0,3,2,0,0,0,2,0,3,0,14,11,10KS0093PHD
120131 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3957 ,ECh: Anthropology ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KN3957BS
120131 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3966 ,ECh: Geography ,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KN3966BS
120131 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3967 ,ECh: History ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KN3967BS
120131 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3968 ,ECh: Language arts ,4,0,4,0,2,2,0,0,0,0,0,0,0,0,0,4,0,10KN3968BS
120131 ,KN ,613 ,BS ,0094 ,Early Childhood Education ,3969 ,ECh: Linguistics ,4,1,3,0,3,0,0,0,0,0,0,1,0,0,0,3,1,10KN3969BS
