"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRING 2015,,,,,,,,"PUBLICATION DATE:  FEBRUARY 13, 2015",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,,,,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,All students including multiracial and Hispanic,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
120151 ,KL ,802 ,PHD ,0030 ,Crop Sciences ,  ,  ,64,46,18,0,30,1,0,1,0,0,0,30,2,0,0,0,1,18,46,10KS0030PHD
120151 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,  ,  ,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,10KL0051BS
120151 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,54,29,25,0,40,2,3,1,0,0,4,3,1,4,0,0,6,49,5,10KL0051BS
120151 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,0057 ,Fish and Wildlife Conservation ,4,1,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,2,10KL0057BS
120151 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5239 ,Humn Dimnsns of the Environmnt ,77,34,43,0,44,5,3,11,0,0,0,14,0,3,2,0,6,61,16,10KL0051BS
120151 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5239 ,Humn Dimnsns of the Environmnt ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10KL8037BS
120151 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5240 ,Resrce Cons & Restoration Ecol ,70,34,36,0,44,3,1,2,0,0,3,17,0,1,1,0,6,51,19,10KL0051BS
120151 ,KL ,875 ,BS ,0051 ,Natural Resrcs & Environ Sci ,5241 ,Globl Chg & Landscape Dynamics ,24,11,13,0,12,2,0,2,0,0,3,5,0,1,0,1,5,16,8,10KL0051BS
120151 ,KL ,875 ,MS ,0190 ,Natural Res & Env Sciences ,  ,  ,54,33,21,0,44,1,2,3,0,0,2,2,0,2,2,0,1,32,22,10KS0190MS
120151 ,KL ,875 ,PHD ,0190 ,Natural Res & Env Sciences ,  ,  ,29,18,11,0,21,0,1,1,0,0,0,6,0,1,0,0,0,7,22,10KS0190PHD
120151 ,KL ,971 ,MS ,0191 ,Nutritional Sciences ,  ,  ,12,2,10,0,7,1,0,2,0,0,0,1,1,0,0,0,1,7,5,10KS0191MS
120151 ,KL ,971 ,PHD ,0191 ,Nutritional Sciences ,  ,  ,28,8,20,0,15,4,0,2,0,0,1,6,0,1,0,0,5,6,22,10KS0191PHD
120151 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,***College total*** ,3160,1424,1736,0,1992,267,147,257,2,0,82,401,12,183,32,8,325,2446,714, 
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
120151 ,KM ,  ,  ,  ,Business ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120151 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,  ,  ,149,109,40,0,45,24,7,2,0,0,2,69,0,7,0,1,26,50,99,10KS9875MBA
120151 ,KM ,230 ,MBA ,9875 ,Business Administration (MBA) ,4064 ,MBA ,153,102,51,0,89,15,20,8,0,0,1,20,0,21,1,0,16,142,11,10KS4064MBA
120151 ,KM ,260 ,BS ,0075 ,Finance ,  ,  ,527,357,170,0,323,71,17,30,0,1,9,74,2,19,5,3,77,412,115,10KM0075BS
120151 ,KM ,260 ,MS ,0075 ,Finance ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KS0075MS
120151 ,KM ,260 ,MS ,0075 ,Finance ,  ,  ,114,62,52,0,6,4,0,0,0,0,1,102,1,0,1,0,4,6,108,10KS0075MSK
120151 ,KM ,260 ,NDEG ,0075 ,Finance ,  ,  ,7,6,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,10KS0075NDEG
120151 ,KM ,260 ,PHD ,0075 ,Finance ,  ,  ,22,15,7,0,0,2,0,0,0,0,0,20,0,0,0,0,2,1,21,10KS0075PHD
120151 ,KM ,346 ,BS ,0071 ,Accountancy ,  ,  ,1029,538,491,0,421,175,30,48,0,1,14,335,5,35,2,3,185,628,401,10KM0071BS
120151 ,KM ,346 ,MAS ,0071 ,Accountancy ,  ,  ,282,146,136,0,140,40,6,18,0,0,3,75,0,7,2,1,42,193,89,10KS0071MAS
120151 ,KM ,346 ,MS ,0071 ,Accountancy ,  ,  ,144,32,112,0,8,5,0,0,0,0,0,131,0,0,0,0,5,10,134,10KS0071MSK
120151 ,KM ,346 ,MS ,5187 ,Taxation ,  ,  ,27,15,12,0,12,8,1,2,0,0,0,4,0,1,0,0,8,21,6,10KS5187MSK2
120151 ,KM ,346 ,PHD ,0071 ,Accountancy ,  ,  ,27,16,11,0,17,0,0,1,0,0,1,7,1,0,1,0,0,7,20,10KS0071PHD
120151 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,120,45,75,0,73,11,7,14,0,1,3,9,2,8,0,1,14,104,16,10KM1432BS
120151 ,KM ,902 ,BS ,1432 ,Marketing ,  ,  ,128,41,87,0,88,15,4,14,0,0,4,3,0,6,0,1,17,115,13,10KM8037BS
120151 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,  ,  ,22,15,7,0,8,10,2,1,0,0,0,1,0,2,0,0,10,19,3,10KM5070BS
120151 ,KM ,902 ,BS ,5070 ,Information Sys & Info Tech ,  ,  ,32,23,9,0,17,10,2,0,0,0,1,2,0,2,0,0,11,28,4,10KM8037BS
120151 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,  ,  ,20,9,11,0,11,6,0,0,0,0,0,3,0,0,0,0,6,15,5,10KM5071BS
120151 ,KM ,902 ,BS ,5071 ,Supply Chain Management ,  ,  ,94,44,50,0,72,10,0,4,0,0,5,2,1,1,2,1,13,88,6,10KM8037BS
120151 ,KM ,902 ,BS ,5072 ,Business Process Management ,  ,  ,16,8,8,0,10,2,2,1,0,0,1,0,0,2,0,0,3,14,2,10KM5072BS
120151 ,KM ,902 ,BS ,5072 ,Business Process Management ,  ,  ,13,6,7,0,4,1,3,5,0,0,0,0,0,3,0,0,1,13,0,10KM8037BS
120151 ,KM ,902 ,BS ,5073 ,Management ,0086 ,Entrepreneurship ,21,10,11,0,7,2,5,1,0,0,2,4,0,5,1,1,4,15,6,10KM5073BS
